Type,Domain,Prefix,sbr-nl,local,xbrl
roles,ocw,urn:kvk:linkrole:notes-current-liabilities-payables-other-current-specification-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-receivables-breakdown-maturity-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-income-expenses-statement-segmentation-sectors-education,False,True,False
roles,ocw,urn:kvk:linkrole:income-expenses-statement-budget-education,False,True,False
roles,ocw,urn:kvk:linkrole:continuity-paragraph-state-income-expenses-statement-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-financial-assets-breakdown-education,False,True,False
roles,ocw,urn:kvk:linkrole:report-of-the-competent-authority-education,False,True,False
roles,ocw,urn:ocw:linkrole:accounting-assessment-and-examination-education,False,True,False
roles,ocw,urn:ocw:linkrole:entity-address-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-noncurrent-liabilities-payables-other-noncurrent-movement-specification-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-employee-benefits-expenses-breakdown-education,False,True,False
roles,ocw,urn:ocw:linkrole:classes-of-provisions-education,False,True,False
roles,ocw,urn:kvk:linkrole:subsidy-income-spend-on-intended-purpose-including-settlement-of-any-surplus-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-subsidy-income-any-surplus-added-to-lump-sum-specification-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-accommodation-costs-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-revaluation-reserve-realised-breakdown-education,False,True,False
roles,ocw,urn:kvk:linkrole:income-expenses-statement-education,False,True,False
roles,ocw,urn:kvk:linkrole:continuity-paragraph-consolidated-staffing-level-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-income-expenses-statement-segmentation-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-property-plant-equipment-movement-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-accommodation-costs-breakdown-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-property-plant-equipment-breakdown-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-current-liabilities-breakdown-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-related-party-transactions-specification-education,False,True,False
roles,ocw,urn:kvk:linkrole:continuity-paragraph-staffing-level-budget-breakdown-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-noncurrent-liabilities-breakdown-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-expenses-other-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-inventories-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-subsidy-income-continuing-into-next-year-specification-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-costs-of-own-organisation-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-accommodation-costs-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-subsidies-provided-education,False,True,False
roles,ocw,urn:kvk:linkrole:report-of-the-management-board-financial-support-fund-breakdown-other-education,False,True,False
roles,ocw,urn:kvk:linkrole:consolidated-balance-sheet-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-receivables-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-subsequent-events,False,True,False
roles,ocw,urn:kvk:linkrole:cash-flow-statement-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-related-party-transactions-specification-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-receivables-receivables-other-related-parties-current-specification-education,False,True,False
roles,ocw,urn:kvk:linkrole:classes-of-financially-supported-by-student-financial-support-fund,False,True,False
roles,ocw,urn:kvk:linkrole:notes-results-appropriation-segmentation-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-employee-benefits-expenses-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-results-appropriation-segmentation-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-financial-assets-education,False,True,False
roles,ocw,urn:kvk:linkrole:continuity-paragraph-consolidated-balance-sheet-budget-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-financial-assets-education,False,True,False
roles,ocw,urn:ocw:linkrole:classes-of-noncurrent-liabilities-education,False,True,False
roles,ocw,urn:kvk:linkrole:consolidated-income-expenses-statement-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-subsidy-income-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-income-other-breakdown-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-subsidy-income-education,False,True,False
roles,ocw,urn:ocw:linkrole:covenant-resources-accountability-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-auditors-fees-breakdown,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-income-expenses-statement-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-property-plant-equipment-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-government-contributions-income-transfers-school-boards-education,False,True,False
roles,ocw,urn:kvk:linkrole:continuity-paragraph-education,False,True,False
roles,ocw,urn:ocw:linkrole:report-of-the-management-financial-support-fund-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-current-liabilities-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-remuneration-executive-senior-officials-from13month-specification-education,False,True,False
roles,ocw,urn:ocw:linkrole:report-of-the-management-board-expense-claims-payments-managing-directors-education,False,True,False
roles,ocw,urn:ocw:linkrole:classes-of-financial-assets-education,False,True,False
roles,ocw,urn:kvk:linkrole:continuity-paragraph-staffing-level-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-accounting-principles-assets-liabilities-education,False,True,False
roles,ocw,urn:kvk:linkrole:continuity-paragraph-balance-sheet-budget-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-tuition-course-training-exam-fees-education,False,True,False
roles,ocw,urn:kvk:linkrole:consolidated-income-expenses-statement-budget-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-revaluation-reserve-realised-breakdown-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-receivables-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-revaluation-reserve-realised-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-provisions-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-expenses-other-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-financial-income-expense-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-subsidies-provided-education,False,True,False
roles,ocw,urn:kvk:linkrole:subsidy-income-any-surplus-added-to-lump-sum-education,False,True,False
roles,ocw,urn:kvk:linkrole:classes-of-continuity-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-property-plant-equipment-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-income-expenses-statement-segmentation-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-income-other-education,False,True,False
